Track,Artist,Album,Duration,Explicit
Four out of Five,Arctic Monkeys,Tranquility Base Hotel & Casino,05:12,False
Fragments Of Time,Daft Punk Feat. Todd Edwards,Random Access Memories,04:39,False
Fred Astaire,San Cisco,Fred Astaire - Single,02:55,False
Free Bird,Lynyrd Skynyrd,Pronounced Leh-Nerd Skin-Nerd,09:12,False
Free Yourself,The Chemical Brothers,No Geography,04:21,False
Freedom Interlude,Noname,Telefone,03:19,False
Friday I'm In Love,The Cure,The Cure: Greatest Hits,03:34,False
Fried Noodles,Pink Guy,Pink Season,02:50,True
Friends Will Be Friends,Queen,A Kind Of Magic,04:07,False
From The Ritz To The Rubble,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,03:13,False
Fu-Gee-La,Fugees,The Score,04:20,True
Fu-Gee-La (Refugee Camp Global Mix),Fugees,The Score,04:20,False
Fu-Gee-La (Refugee Camp Remix),Fugees,The Score,04:22,False
Fu-Gee-La (Sly & Robbie Mix),Fugees,The Score,05:27,False
F**k tha Police,N.W.A.,Straight Outta Compton,05:45,True
F**k You,Dr. Dre,2001,03:25,True
Fun Fun Fun,The Beach Boys,1960's Birthday Oldies Party Music: 25 Classic Songs with It's My Party  Do Wah Diddy  Then He Kissed Me  At Last & More,02:07,False
Fun  Fun  Fun,The Beach Boys,The Beach Boys 20 Golden Greats,02:05,False
Funny You Should Ask,The Front Bottoms,Talon of the Hawk,03:34,False
Funtimes In Babylon,Father John Misty,Fear Fun,03:39,False
Fvck Somebody,The Wrecks,Infinitely Ordinary,03:01,True
Galvanize,The Chemical Brothers,Push the Button,06:33,False
Galway Girl,Ed Sheeran,÷ (Deluxe),02:50,False
The Game Of Love,Daft Punk,Random Access Memories,05:22,False
Gangsta's Paradise,Coolio,Once Upon a Time in 95,04:01,True
GDMFSOB (UNKLE Uncensored Remix ),DJ Shadow Featuring Roots Manuva,,06:26,False
Genius,Kings Of Leon,Youth and Young Manhood,02:48,False
Get Back,The Beatles,1,03:12,False
Get By,Talib Kweli,Quality,03:47,True
Get Got,Death Grips,The Money Store,02:51,True
Get It Together,Beastie Boys,Ill Communication (Deluxe Edition),04:05,True
Get Lucky,Daft Punk Feat. Pharrell Williams,Random Access Memories,06:09,False
Ghost,Neutral Milk Hotel,In the Aeroplane Over the Sea,04:08,False
Ghost Ship,Blur,The Magic Whip,04:59,False
Ghost Town,The Specials,NME Classics,03:39,False
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,ABBA Gold,04:49,False
Girl (If You Are Who You Say You Are),Jesse Sheehan,Drinking with the Birds,04:18,False
The Girl from Ipanema (feat. Astrud Gilberto & Antônio Carlos Jobim) [Single Version],Stan Getz & João Gilberto,Getz/Gilberto (Expanded Edition),02:47,False
Girls and Boys,Blur,The Best Of,04:18,False
Give It All Back,Noah & The Whale,Last Night On Earth,02:55,False
Give It to Me (feat. Justin Timberlake & Nelly Furtado),Timbaland,Shock Value,03:54,True
Gives You Hell,The All-American Rejects,Gives You Hell - Single,03:34,False
Go,The Chemical Brothers,Born in the Echoes (Deluxe Edition),04:20,True
Go,The Black Keys,"Let's Rock",02:26,False
Go Ahead,Rilo Kiley,Take Offs and Landings,03:34,False
Go All the Way,Raspberries,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),03:21,False
Go Fuck Yourself,Two Feet,First Steps - EP,02:09,True
Go Your Own Way,Fleetwood Mac,Rumours,03:43,False
God Only Knows,The Beach Boys,Pet Sounds,02:55,False
Godzilla (feat. Juice WRLD),Eminem,Music To Be Murdered By,03:30,True
Goin' Up the Country,Canned Heat,Living the Blues,02:49,False
Going Home - Theme of the Local Hero,Mark Knopfler,Private Investigations - The Best of Dire Straits & Mark Knopfler,05:00,False
Gold Dust Woman,Fleetwood Mac,Rumours,04:55,False
Golden Brown,The Stranglers,The Collection 1977-1982,03:26,False
Golden Slumbers,Elbow,The Best Of,02:24,False
Golden Trunks,Arctic Monkeys,Tranquility Base Hotel & Casino,02:53,False
Gon Stay (feat. Sampha),SBTRKT,Wonder Where We Land,03:36,False
Gone Daddy Gone,Gnarls Barkley,St. Elsewhere,02:28,False
Good Day (Island Remix) {feat. Nappy Roots  Beenie Man  Rock City),Greg Street,Sertified Worldwide,03:37,True
Good Old-Fashioned Lover Boy,Queen,The Platinum Collection,02:52,False
Good Riddance (Time of Your Life),Green Day,Nimrod,02:34,True
Goodbye Mr A,The Hoosiers,The Trick to Life,04:26,False
Goodbye My Lover,James Blunt,Back To Bedlam,04:18,False
Goodbye Yellow Brick Road,Elton John,Rocket Man: The Definitive Hits,03:14,False
Goodbye Yellow Brick Road,Elton John,Goodbye Yellow Brick Road,03:12,False
Got Glint?,The Chemical Brothers,Surrender,05:26,False
Got None,Robert Post,Robert Post,03:59,False
Got to Keep On,The Chemical Brothers,No Geography,05:16,False
Grace Kelly,MIKA,Life in Cartoon Motion,03:07,False
Grandma's Cookies,Jesse Sheehan,Grandma's Cookies - Single,03:28,False
Gravel Pit,Wu-Tang Clan,Legend of the Wu-Tang: Wu-Tang Clan's Greatest Hits,04:13,True
Gravity Drops,The Chemical Brothers,No Geography,04:30,False
Groove Is In the Heart,Deee-Lite,World Clique,03:51,False
Grounds for Divorce,Elbow,The Seldom Seen Kid,03:39,False
Guillotine,Death Grips,Guillotine - Single,03:43,False
Gummy,BROCKHAMPTON,Gummy - Single,04:20,True
Guns,Broken Witt Rebels,Broken Witt Rebels,03:21,False
Had Some Drinks,Two Feet,Had Some Drinks - Single,02:20,True
Halcyon and On and On,Orbital,Orbital 2,09:27,False
Half The World Away,Oasis,The Masterplan,04:21,False
Hallelujah,Rufus Wainwright,Shrek - Music From the Original Motion Picture,04:08,False
Handsome (feat. Megan Thee Stallion),Chance the Rapper,The Big Day,02:53,True
Happiness,Goldfrapp,Seventh Tree,04:16,False
Happy (From "Despicable Me 2"),Pharrell Williams,G I R L (Japan Version),03:52,False
Hard Times,Paramore,After Laughter,03:02,False
Hard To Explain,The Strokes,Is This It,03:47,False
Harder Better Faster Stronger,Daft Punk,Discovery,03:44,False
Harder Than You Think,Public Enemy,How You Sell Soul to a Soulless People Who Sold Their Soul? (Audio Version),04:09,False
Harmony Hall,Vampire Weekend,Father of the Bride,05:08,False
Harvester,Beak>,>>>,03:01,False
Haunting  Haunted  Haunts,Against Me!,Shape Shift with Me,02:25,False
Havana (feat. Young Thug),Camila Cabello,Camila,03:37,False
Hawaiian Roller Coaster Ride,Kamehameha Schools Children's Chorus & Mark Keali'i Ho'omalu,Lilo & Stitch (Original Motion Picture Soundtrack),03:29,False
Hayloft,Mother Mother,O My Heart,03:01,False
Headlow (feat. Norelle),Anderson .Paak,Oxnard,04:10,False
Heart Is a Drum,Beck,Morning Phase,04:31,False
Heart of Glass,Blondie,The Best of Blondie,04:35,False
Heartbeats,José González,Heartbeats / Suggestions - Single,02:43,False
Heavy Cross,Gossip,Music for Men (Deluxe Version),04:02,False
Help!,The Beatles,1,02:18,False
Here for Good,Restless Leg Syndrome,Rooted,03:31,False
Here  There and Everywhere,The Beatles,Revolver,02:24,False
A Hero's Death,Fontaines D.C.,A Hero's Death,04:18,False
Hey Boy Hey Girl,The Chemical Brothers,Surrender,04:50,False
Hey Jude,The Beatles,1,07:04,False
Hey Ya!,Outkast,Speakerboxxx/The Love Below,03:55,False
Hide and Seek,Imogen Heap,Speak for Yourself,04:28,False
High and Dry,Radiohead,The Bends,04:17,False
High Five,Sigrid,Raw - EP,02:49,False
High School Never Ends,Bowling for Soup,The Great Burrito Extortion Case,03:29,True
High to Death,Car Seat Headrest,Twin Fantasy,07:39,False
Higher (feat. Raury),SBTRKT,Wonder Where We Land,04:13,True
The Hills,The Weeknd,Beauty Behind the Madness,04:02,True
Hjartað Hamast (Bamm Bamm Bamm),Sigur Rós,Ágætis Byrjun,07:10,False
Hold It In,Jukebox the Ghost,Let Live and Let Ghosts,03:28,False
Hold My Girl,George Ezra,Staying at Tamara's,03:31,False
Holland  1945,Neutral Milk Hotel,In the Aeroplane Over the Sea,03:12,False
Holy Calamity [Bear Witness II] [feat. DJ Shadow & DJ Quest],Handsome Boy Modeling School,So...How's Your Girl?,04:01,False
Holy Ground,Taylor Swift,Red,03:22,False
Holy Roller Novocaine,Kings Of Leon,Youth and Young Manhood,04:16,False
Holy Shit,Father John Misty,I Love You  Honeybear,04:01,False
Home,Machine Gun Kelly  X Ambassadors & Bebe Rexha,Bright: The Album,03:22,False
Home (Remastered),Edward Sharpe & The Magnetic Zeros,Up From Below (Remastered),05:06,False
Homicide (feat. Eminem),Logic,Confessions of a Dangerous Mind,04:05,True
Honey,Kehlani,Honey - Single,03:19,True
Hooked On A Feeling,Blue Swede,Reservoir Dogs,02:53,False
Horse Outside,The Rubberbandits,Horse Outside - EP,03:36,False
A Horse with No Name,America,The Complete Greatest Hits,04:09,False
Hotel California,Eagles,Hotel California,06:31,False
The House of the Rising Sun,The Animals,The Singles Plus,04:30,False
House of Wolves,My Chemical Romance,The Black Parade,03:04,True
Housebroken,The Hotelier,Home  Like Noplace Is There,04:50,False
Housewife,Dr. Dre,2001,04:02,True
How Many Mics,Fugees,The Score,04:28,True
Human,The Killers,Day & Age,04:05,False
Human,Rag'n'Bone Man,Human (Deluxe),03:20,False
HUMBLE.,Kendrick Lamar,DAMN.,02:57,True
The Humpty Dance,Digital Underground,No Nose Job: The Legend of Digital Underground,06:30,True
Hunnybee,Unknown Mortal Orchestra,Sex & Food,04:28,False
Hypersonic Missiles,Sam Fender,Hypersonic Missiles - Single,04:00,False
Hysteria,Muse,Hysteria - Single,03:47,False
I Am the Walrus,The Beatles,Magical Mystery Tour,04:35,False
I Belong To You / Mon Cœur S'ouvre À Ta Voix,Muse,The Resistance,05:38,False
I Bet You Look Good On The Dancefloor,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,02:53,False
I Can Change,LCD Soundsystem,This Is Happening,05:55,False
I Don't Care If The Sun Don't Shine,Patti Page,Big Hits & Highlights Of 1950  Vol. 11,02:42,False
I Don't Love You,My Chemical Romance,The Black Parade,03:58,False
I Don't Want to Know,Fleetwood Mac,Rumours,03:16,False
I Feel It Coming (feat. Daft Punk),The Weeknd,Starboy,04:29,True
I Get Around,The Beach Boys,The Beach Boys 20 Golden Greats,02:13,False
I Get the Sweetest Feeling,Jackie Wilson,20 Greatest Hits (Remastered),02:57,False
I Go Crazy,Orla Gartland,I Go Crazy - Single,03:34,False
I Got the... (2006 Remastered Version),Labi Siffre,Remember My Song,06:35,False
I Knew You Were Trouble,Taylor Swift,Red,03:39,False
I Left a Woman Waiting,Leonard Cohen,Death of a Ladies' Man,03:29,False
I Love You  Honeybear,Father John Misty,I Love You  Honeybear,04:39,False
I Think I Like It,Fake Blood,I Think I Like It - Single,05:35,False
I Tried to Leave You,Leonard Cohen,New Skin for the Old Ceremony,02:42,False
I Walk the Line,Johnny Cash,Ring of Fire: the Legend of Johnny Cash,02:45,False
I Wanna Be Yours,Arctic Monkeys,AM,03:04,False
I Want it all,Queen,Greatest Hits I  II & III,04:01,False
I Want It All,Arctic Monkeys,AM,03:04,False
I Want To Break Free,Queen,Greatest Hits I  II & III,04:18,False
I Want You (She's So Heavy),The Beatles,Abbey Road,07:47,False
I Want You Back,Jackson 5,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),02:58,False
I Was Born To Love You,Queen,Made In Heaven,04:49,False
I Went To The Store One Day,Father John Misty,I Love You  Honeybear,04:25,False
I Will Go Sailing No More,Randy Newman,Toy Story Original Soundtrack (English Version),02:58,False
I Wish (Radio Edit),Skee-Lo,I Wish,04:12,False
I'm a Believer,The Monkees,The Best of the Monkees,02:45,False
I'm A Boy,The Who,My Generation - The very best of the who,02:36,False
I'm A Cuckoo,Belle & Sebastian,Dear Catastrophe Waitress,05:26,False
I'm Gonna Be (500 Miles),The Proclaimers,The Best Of... (87-02),03:37,False
I'm Gonna Be (500 Miles) [Remastered],The Proclaimers,The Very Best Of,03:38,False
I'm Not In Love,10cc,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),06:03,False
I'm On My Way,The Proclaimers,The Best Of... (87-02),03:35,False
I'm On My Way (Remastered),The Proclaimers,The Very Best Of,03:40,False
I've Just Seen a Face,The Beatles,Help!,02:05,False
I've Never Been To Me,Charlene,Top of the Pops - 1982,03:45,False
The Ideal Husband,Father John Misty,I Love You  Honeybear,03:35,False
IDGAF,Dua Lipa,Dua Lipa (Deluxe),03:37,True
If I Was a Folkstar,The Avalanches,Wildflower,04:33,False
If It Happens (feat. Sampha),SBTRKT,Wonder Where We Land,01:29,False
If You Find Yourself Caught In Love,Belle & Sebastian,Dear Catastrophe Waitress,04:15,False
If You Wanna,The Vaccines,What Did You Expect from The Vaccines?,02:54,False
If You Were There  Beware,Arctic Monkeys,Favourite Worst Nightmare,04:34,False
In Blue,Declan McKenna,MOOMINVALLEY (Official Soundtrack),04:54,False
In Cold Blood,alt-J,RELAXER,03:26,True
In Framing,The Hotelier,Home  Like Noplace Is There,02:59,False
In the Aeroplane Over the Sea,Neutral Milk Hotel,In the Aeroplane Over the Sea,03:22,False
In the Army Now,Status Quo,In the Army Now,04:41,False
In the Mood (2010 Remastered),Glenn Miller and His Orchestra,The Very Best of Glenn Miller,03:34,False
In the Morning,Razorlight,Razorlight,03:42,False
In the Summertime,Mungo Jerry,In the Summertime,03:31,False
In Too Deep,Sum 41,All Killer  No Filler,03:27,False
Infamous Date Rape,A Tribe Called Quest,The Low End Theory,02:53,False
Ingenue,Atoms for Peace,Amok,04:30,False
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,05:37,False
Intergalactic,Beastie Boys,Hello Nasty,03:51,False
Intro,Sigur Rós,Ágætis Byrjun,01:36,False
An Introduction to the Album,The Hotelier,Home  Like Noplace Is There,04:32,False
Iodine,Leonard Cohen,Death of a Ladies' Man,05:05,False
Iris,The Goo Goo Dolls,Greatest Hits  Volume One: The Singles,04:49,False
The Irish Rover,The Pogues,The Ultimate Collection,03:39,False
Is This It,The Strokes,Is This It,02:35,False
Is This What You Wanted,Leonard Cohen,New Skin for the Old Ceremony,04:18,False
It Must Be Love,Labi Siffre,Crying  Laughing  Loving  Lying,03:57,False
It Must Be Love,Madness,Complete Madness,03:20,False
It Runs Through Me (feat. De La Soul),Tom Misch,Geography,04:21,False
It Was a Good Day,Ice Cube,Greatest Hits,04:20,True
It Wasn't Me,Shaggy,Hot Shot,03:47,False
It's Grim Up North,The K.L.F.,The White Room,03:59,False
It's In the Way That You Use It,Eric Clapton,August,04:11,False
It's Like That,Run-DMC & Jason Nevins,The Best of Run–DMC,04:09,False
IV. sweatpants,Childish Gambino,Because the Internet,03:00,True
Jamming,Bob Marley & The Wailers,Exodus,03:34,False
Jazz (We've Got),A Tribe Called Quest,The Low End Theory,04:10,False
Jerk It Out,Caesars,Love for the Streets,03:15,False
Ji-Eun's Sunset,City Girl,Neon Impasse,02:48,False
Joan of Arc,Leonard Cohen,Songs of Love and Hate,06:29,False
Juicy,The Notorious B.I.G.,Ready to Die - The Remaster,05:02,True
Just,Radiohead,The Bends,03:54,False
Just a Friend,Biz Markie,Just a Friend - EP,03:58,False
Just Like Heaven,The Cure,Kiss Me  Kiss Me  Kiss Me (Deluxe Edition),03:32,False
Just the Two of Us,Grover Washington  Jr. & Bill Withers,Winelight,07:23,False
Karma Police,Radiohead,OK Computer,04:24,False
Keep On,Portugal. The Man,Woodstock,03:23,False
Keep the Car Running,Arcade Fire,Neon Bible,03:29,False
The Key to Life on Earth,Declan McKenna,Zeros,04:06,False
Kids,MGMT,Oracular Spectacular,05:02,False
Kill All Hippies,Primal Scream,XTRMNTR (Expanded Edition),04:57,False
Killer Queen,Queen,The Platinum Collection,03:01,False
Killing In the Name,Rage Against the Machine,Q - The Music,05:13,False
Killing Me Softly With His Song,Fugees,The Score,04:58,False
A Kind of Magic,Queen,The Platinum Collection,04:21,False
A Kind Of Magic,Queen,A Kind Of Magic,04:24,False
King Kunta,Kendrick Lamar,To Pimp a Butterfly,03:54,False
King of the Castle,Beak>,>>>,02:44,False
King of the Road,The Proclaimers,The Best of the Proclaimers,02:45,False
King Of The Rodeo,Kings Of Leon,Aha Shake Heartbreak,02:25,False
King's Crossing,Elliott Smith,From a Basement On the Hill,04:57,False
Kiss Me,Sixpence None the Richer,Sixpence None the Richer,03:28,False
Kissing the Lipless,The Shins,Chutes Too Narrow,03:19,False
Knee Socks,Arctic Monkeys,AM,04:17,False
Knights of Cydonia,Muse,Black Holes and Revelations,06:08,False
Knives Out,Radiohead,Amnesiac,04:14,False
Know How,Young MC,Stone Cold Rhymin' (Deluxe Edition),04:02,False
Know Your Enemy,Rage Against the Machine,Rage Against the Machine,04:55,True
Kokomo,The Beach Boys,Made In California (1962–2012),03:37,False
L.I.F.E.G.O.E.S.O.N.,Noah & The Whale,Last Night On Earth,03:48,False
L'autre Valse d'Amélie,Yann Tiersen,Le Fabuleux Destin d'Amélie Poulain,01:33,False
Ladbroke Grove,AJ Tracey,AJ Tracey,03:10,False
Ladies and Gentlemen We Are Floating in Space,Spiritualized,Ladies and Gentlemen We Are Floating in Space,03:54,False
Lantern,SBTRKT,Wonder Where We Land,02:00,False
Last Night,The Strokes,Is This It?,03:16,False
Last Nite,The Strokes,Is This It,03:17,False
Last Request (Alternative Mix) [Old Version],Paolo Nutini,These Streets,03:41,False
Last Year,alt-J,RELAXER,06:06,False
Last Year's Man,Leonard Cohen,Songs of Love and Hate,06:02,False
Lava/Treacle (feat. Jesse James Solomon),ELIZA,Lava/Treacle (feat. Jesse James Solomon) - Single,03:21,True
Lay All Your Love On Me,ABBA,Super Trouper,04:34,False
Layla (Acoustic Live),Eric Clapton,Unplugged (Deluxe Edition) [Live],04:49,False
Leaving Green Sleeves,Leonard Cohen,New Skin for the Old Ceremony,02:39,False
Left Hand Free,alt-J,This Is All Yours,02:53,False
Left to Right,Anderson .Paak,Oxnard,03:55,False
Lemon,N.E.R.D & Rihanna,NO ONE EVER REALLY DIES,03:39,True
Lemon to a Knife Fight,The Wombats,Beautiful People Will Ruin Your Life,03:25,False
Leopard's Tongue,Karen O & Danger Mouse,Lux Prima,03:13,False
The Less I Know the Better,Tame Impala,Currents,03:38,True
Let Forever Be,The Chemical Brothers,Surrender,03:56,False
Let It Be,The Beatles,1,03:50,False
Let Me Blow Ya Mind (feat. Gwen Stefani),Eve,Ride or Die,03:50,True
Let's Dance to Joy Division,The Wombats,Let's Dance to Joy Division - Single,03:01,False
Let's Get High,Dr. Dre,2001,02:27,True
Let's Get It Started (Spike Mix),Black Eyed Peas,Let's Get It Started - EP,03:37,False
Let's Go to Bed,The Cure,The Cure: Greatest Hits,03:32,False
Let's Stay Together,Al Green,Let's Stay Together,03:19,False
Levitation,Beach House,Depression Cherry,05:54,False
Library Takeout,MicrOpaqu3,Library Takeout - Single,03:40,False
Liebesträum No. 3 in A-Flat  S. 541 No. 3: Notturno III: O Lieb  So Lang Du Lieben Kannst Poco Allegro  Con Affetto,Daniel Barenboim,Liszt: Liebesträume,04:35,False
Life in Drag,The Hotelier,Home  Like Noplace Is There,02:21,False
Life Is Life,Noah & The Whale,Last Night On Earth,03:36,False
Life On Mars? (1999 Remaster),David Bowie,Best of Bowie,03:43,False
Life's Been Good (Single Version),Joe Walsh,Summer Nights,04:39,False
The Light (feat. Denai Moore),SBTRKT,Wonder Where We Land,03:06,False
Light Speed,Dr. Dre,2001,02:41,True
Little Green Bag,George Baker,Reservoir Dogs,03:15,False
Little Lies,Fleetwood Mac,Greatest Hits,03:38,False
A Little Respect,Erasure,Hits! The Very Best of Erasure,03:27,False
Live in the Moment,Portugal. The Man,Woodstock,04:06,False
Livid,ELIZA,Livid - Single,04:29,False
Loaded,Primal Scream,Screamadelica,07:01,False
The Logical Song,Supertramp,The Very Best of Supertramp,04:09,False
Lola,The Kinks,The Ultimate Collection,04:03,False
Lola (In Concert at the Hippodrome Theatre  1974),The Kinks,At the BBC,04:19,False
Lolo (Intro) [feat. Tray-Dee & Xzibit],Dr. Dre  Tray-Dee & Xzibit,2001,00:41,True
Lone Digger,Caravan Palace,<I°_°I>,03:49,False
Lone Star,The Front Bottoms,Talon of the Hawk,03:49,False
Lonely Boy,The Black Keys,Lonely Boy - Single,03:13,False
The Longest Time,Billy Joel,An Innocent Man,03:43,False
The Look,Metronomy,The English Riviera,04:37,False
Look at This Face (Oh My God They're Gorgeous),Handsome Boy Modeling School,So...How's Your Girl?,01:59,False
Look Away (feat. Caroline Polachek),SBTRKT,Wonder Where We Land,04:16,False
Los,Plaid,Polymer,04:50,False
Los Ageless,St. Vincent,MASSEDUCTION,04:41,False
Lose Yourself,Eminem,Curtain Call,05:26,True
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,05:53,False
Loser,Beck,Mellow Gold,03:55,False
Love Calls You By Your Name,Leonard Cohen,Songs of Love and Hate,05:44,False
Love Cats,The Cure,D.E.B.S.,03:40,False
The Love Me or Die,C.W. Stoneking,Jungle Blues,03:54,False
Love of My Life,Queen,A Night at the Opera (Deluxe Edition),03:39,False
Love on Me,Galantis & Hook N Sling,Love on Me - Single,03:25,False
Love Story,Taylor Swift,Love Story - Single,03:53,False
Love Will Tear Us Apart,Joy Division,The Best of Joy Division,03:26,False
Love You Like a Love Song,Selena Gomez & The Scene,When the Sun Goes Down (UK Bonus Version),03:08,False
Love's Enormous Wings,The Leisure Society,The Sleeper & a Product of the Ego Drain,02:31,False
The Lovecats,The Cure,NME Classics,03:38,False
Lovely Day,Bill Withers,The Essential Bill Withers,04:14,False
Lover Lover Lover,Leonard Cohen,New Skin for the Old Ceremony,03:24,False
Lovin' You,Minnie Riperton,Perfect Angel,03:59,False
Loving Is Easy (feat. Benny Sings),Rex Orange County,Loving Is Easy (feat. Benny Sings) - Single,02:35,True
Low Rider,War,Why Can't We Be Friends?,03:10,False
Lust For Life,Iggy Pop,NME Classics,05:06,False
Luv(sic.)  Pt. 3 (feat. Shing02),Nujabes,Modal Soul,05:36,False
Lux Prima,Karen O & Danger Mouse,Lux Prima,09:02,False
M.O.R.,Blur,Blur,03:27,False
Machu Picchu,The Strokes,Angles,03:29,False
Mad Sounds,Arctic Monkeys,AM,03:35,False
Madness,Madness,It's... Another Madness Too,02:38,False
Madness,Muse,The 2nd Law,04:39,False
Magic City,Gorillaz,The Now Now,03:59,False
Magnetizing (feat. Del Tha Funkee Homosapien),Handsome Boy Modeling School,So...How's Your Girl?,06:10,False
MAH,The Chemical Brothers,No Geography,05:36,False
Mama,My Chemical Romance,The Black Parade,04:39,True
Mama's Don't Let Your Babies Grow up to Be Cowboys,Ed Bruce,Country Hits,03:20,False
Mambo No. 5 (a Little Bit of...),Lou Bega,A Little Bit of Mambo,03:40,False
Mamma Mia,Austin Weber,Mamma Mia - Single,03:29,False
man i is,Logic,No Pressure,04:29,True
Manifest/Outro,Fugees,The Score,05:59,True
Mansa Musa (feat. Dr. Dre & Cocoa Sarai),Anderson .Paak,Oxnard,02:53,False
Many of Horror,Biffy Clyro,Only Revolutions (Deluxe Version),04:18,False
Mardy Bum,Arctic Monkeys,Whatever People Say I Am  That's What I'm Not,02:55,False
Martha My Dear,The Beatles,White Album,02:28,False
Maru,Plaid,Polymer,04:49,False
Mary,Noah & The Whale,Peaceful  The World Lays Me Down,03:28,False
The Mask,Fugees,The Score,04:50,True
Matinee,Franz Ferdinand,Franz Ferdinand,04:06,False
Matinée,Franz Ferdinand,Matinée - Single,04:06,False
Maxwell's Silver Hammer,The Beatles,Abbey Road,03:27,False
Me  Myself And I,De La Soul,3 Feet High And Rising,03:40,False
Meat Grinder,Madvillain  Madlib & MF DOOM,Madvillainy,02:11,False
Meds Fade,Plaid,Polymer,03:14,False
Megaton B - Boy 2000 (feat. Alec Empire & EL-P),Handsome Boy Modeling School,So...How's Your Girl?,04:57,False
Mellow Yellow,Donovan,The Best of Donovan Sunshine Superman,03:41,False
Mellow Yellow (2005 Remastered Version),Donovan,Mellow Yellow,03:43,False
Mélodie,Data & Sacha Sieff,Mélodie - Single,04:16,False
Memories,Leonard Cohen,Death of a Ladies' Man,06:03,False
Men's Needs,The Cribs,Men's Needs  Women's Needs  Whatever,03:18,False
The Message,Grandmaster Flash,The Message: The Roots of Rap,07:12,False
The Message / Outro,Dr. Dre & Thomas Chong,2001,05:29,False
Metaphysical (A Good Day) [feat. Miho Hatori & Mike D],Handsome Boy Modeling School,So...How's Your Girl?,03:25,False
The Middle,Jimmy Eat World,Bleed American,02:46,False
Midnight in a Perfect World (Hudson Mohawke Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),03:31,False
Ministry,Karen O & Danger Mouse,Lux Prima,05:06,False
Miss Misery (Early Version),Elliott Smith,An Introduction To Elliott Smith,02:55,False
Mista Mista,Fugees,The Score,02:42,True
Mo Money Mo Problems (feat. Mase & Puff Daddy) [2014 Remastered Version],The Notorious B.I.G.,Life After Death (Remastered Edition),04:17,True
Modeling Sucks,Handsome Boy Modeling School,So...How's Your Girl?,01:02,False
The Modern Age,The Strokes,Is This It,03:32,False
The Moebius,Orbital,Orbital,07:01,False
Money for Nothing,Dire Straits,Private Investigations - The Best of Dire Straits & Mark Knopfler,08:24,False
Money Trees (feat. Jay Rock),Kendrick Lamar,good kid  m.A.A.d city (Deluxe),06:26,True
Moonage Daydream,David Bowie,Guardians of the Galaxy: Awesome Mix  Vol. 1 (Original Motion Picture Soundtrack),04:41,False
Moonage Daydream (2012 Remastered Version),David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders From Mars (2012 Remastered Version),04:40,False
Mother,John Lennon,John Lennon/Plastic Ono Band,05:35,False
Mother and Child Reunion,Paul Simon,Paul Simon,03:09,False
Move Your Body,Xpansions,Move Your Body (Elevation) - EP,03:51,False
Movin Backwards,A Tribe Called Quest,We got it from Here... Thank You 4 Your service,04:41,True
Movin' On Up,Primal Scream,Screamadelica,03:48,False
Mr Lonely (feat. Fat Lip),Portugal. The Man,Woodstock,04:22,True
Mr. Brightside,The Killers,Hot Fuss (Deluxe Edition),03:42,False
Mr. Finish Line (feat. Christine Hucal & Theo Katzman),Vulfpeck,Mr Finish Line,03:13,False
Mr. Jones,Counting Crows,August and Everything After,04:32,False
Mr. Rock & Roll,Amy Macdonald,This Is the Life,03:34,False
Ms. Jackson,Outkast,Stankonia,04:30,True
Muggles,Louis Armstrong and His Hot Seven,The Best of the Hot 5 & Hot 7 Recordings,02:49,False
Murder Ink,Dr. Dre,2001,02:28,True
Music: Response,The Chemical Brothers,Surrender,05:19,False
Mutual Slump (Daedelus Remix),DJ Shadow,Endtroducing (Endtroducing Re-Emagined),04:09,False
My Baby Just Cares for Me,Nina Simone,The Very Best of Jazz: 50 Unforgettable Tracks (Remastered),03:38,False
My Beloved Monster,Eels,Beautiful Freak,02:12,False
My Boy (Twin Fantasy),Car Seat Headrest,Twin Fantasy,02:52,False
My Favorite Part (feat. Ariana Grande),Mac Miller,The Divine Feminine,03:36,False
My Name Is,Eminem,Curtain Call - The Hits,04:28,True
My Way (Remastered),Frank Sinatra,Nothing but the Best (Remastered),04:36,False
My Zero,Ezra Furman,Day of the Dog,03:55,False
Mystery of Love,Sufjan Stevens,Call Me By Your Name (Original Motion Picture Soundtrack),04:08,False
N.Y. State of Mind,Nas,Illmatic,04:54,True
Nails In My Feet,Crowded House,The Very Very Best of Crowded House (Deluxe Version),03:38,False
The Neighbors,St. Vincent,Actor (Bonus Track Version),03:30,False
Nemesis,Benjamin Clementine,At Least For Now,05:04,False
Nervous Young Inhumans,Car Seat Headrest,Twin Fantasy,05:25,True
Never Ever,All Saints,All Saints,06:27,False
Never Going Back Again,Fleetwood Mac,Rumours,02:14,False
